,kingdom,phylum,class,order,family,genus,label
211,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,Edible
212,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Non-edible
214,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Unknown
215,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Unknown
216,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolina,Unknown
217,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolus,Unknown
218,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Ramariopsis,Unknown
219,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Unknown
220,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Unknown
224,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Lentinellus,Unknown
225,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Auriscalpium,Unknown
231,Fungi,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,Unknown
232,Fungi,Basidiomycota,Agaricomycetes,Russulales,Bondarzewiaceae,Heterobasidion,Unknown
233,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera,Non-edible
234,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,Unknown
235,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Abortiporus,Unknown
236,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Steccherinum,Unknown
242,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Unknown
245,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Non-edible
250,Fungi,Basidiomycota,Agaricomycetes,Boletales,Tapinellaceae,Tapinella,Unknown
255,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Cordyceps,Non-edible
258,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,Unknown
263,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Basidioradulum,Non-edible
264,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Terana,Unknown
265,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Byssomerulius,Unknown
266,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Mitrula,Unknown
267,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Unknown
268,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Neobulgaria,Unknown
269,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,Non-edible
270,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Non-edible
284,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Porotheleaceae,Atheniella,Unknown
286,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Lentinus,Edible
287,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Polyporus,Edible
288,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Trametes,Edible
289,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Laetiporus,Non-edible
290,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Trichaptum,Unknown
291,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Neolentinus,Unknown
292,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Pycnoporus,Unknown
293,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Dichomitus,Unknown
294,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Skeletocutis,Unknown
295,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Fomes,Non-edible
296,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Panus,Unknown
297,Fungi,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Lenzites,Unknown
300,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Unknown
303,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,Unknown
305,Fungi,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,Ascocoryne,Unknown
310,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Imleria,Unknown
311,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Strobilomyces,Unknown
312,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Cyanoboletus,Unknown
313,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Neoboletus,Unknown
314,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Hortiboletus,Unknown
315,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Rubroboletus,Unknown
316,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Suillellus,Unknown
317,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Leccinum,Edible
318,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Hemileccinum,Unknown
319,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Xerocomellus,Unknown
320,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Caloboletus,Unknown
321,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Buchwaldoboletus,Unknown
322,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Tylopilus,Unknown
323,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Butyriboletus,Unknown
324,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Chalciporus,Unknown
325,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Boletus,Edible
326,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Rubinoboletus,Unknown
327,Fungi,Basidiomycota,Basidiomycetes,Boletales,Boletaceae,Pseudoboletus,Unknown
334,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps,Unknown
336,Fungi,Basidiomycota,Basidiomycetes,Agaricales,Bolbitiaceae,Bolbitius,Unknown
337,Fungi,Basidiomycota,Basidiomycetes,Agaricales,Bolbitiaceae,Conocybe,Unknown
338,Fungi,Basidiomycota,Basidiomycetes,Agaricales,Bolbitiaceae,Panaeolina,Unknown
339,Fungi,Basidiomycota,Basidiomycetes,Agaricales,Bolbitiaceae,Panaeolus,Unknown
344,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gyroporaceae,Gyroporus,Unknown
346,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Typhulaceae,Typhula,Unknown
348,Fungi,Ascomycota,Ascomycetes,Helotiales,Gelatinodiscaceae,Ascocoryne,Unknown
352,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,Unknown
360,Fungi,Ascomycota,Leotiomycetes,Pezizales,Sarcoscyphaceae,Sarcoscypha,Unknown
362,Fungi,Ascomycota,Leotiomycetes,Helotiales,Cudoniaceae,Spathularia,Unknown
363,Fungi,Basidiomycota,Basidiomycetes,Thelephorales,Thelephoraceae,Thelephora,Unknown
371,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Gymnosporangium,Unknown
381,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,Unknown
392,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,Unknown
398,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Boletaceae,Imleria,Unknown
